id_campo,estado,fecha_captura,red_mean,red_std,red_min,red_max,green_mean,green_std,green_min,green_max,blue_mean,blue_std,blue_min,blue_max,nir08_mean,nir08_std,nir08_min,nir08_max,swir16_mean,swir16_std,swir16_min,swir16_max,swir22_mean,swir22_std,swir22_min,swir22_max,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,gndvi_mean,gndvi_std,gndvi_min,gndvi_max,ndmi_mean,ndmi_std,ndmi_min,ndmi_max,msi_mean,msi_std,msi_min,msi_max,lat,lon,diff_ndvi,diff_ndmi
Heatwave_Arizona_12,enfermo_estres,2023-07-15,9583.41796875,5076.65380859375,0.0,18700.0,8768.498046875,4598.13232421875,0.0,16248.0,8098.67822265625,4223.1630859375,0.0,15421.0,12057.6806640625,6595.763671875,0.0,25015.0,11681.8203125,6318.85693359375,0.0,20374.0,10305.8623046875,5538.94140625,0.0,18923.0,0.1099388375878334,0.06324964016675949,0.010960518382489681,0.4254242777824402,0.1524495780467987,0.058483824133872986,0.015448357909917831,0.4149155914783478,0.01496928185224533,0.04920903593301773,-0.14860108494758606,0.1826302856206894,0.9750109314918518,0.09329784661531448,0.6911455988883972,1.3490750789642334,33.50912026978491,-111.96231183014757,-0.002027683,-0.019812223
Heatwave_Arizona_13,enfermo_estres,2023-07-15,8877.814453125,6316.60107421875,0.0,22346.0,7957.56298828125,5606.21240234375,0.0,19148.0,7225.46875,5087.435546875,0.0,18368.0,11613.640625,8426.529296875,0.0,24656.0,11353.2802734375,8025.9013671875,0.0,23625.0,9774.705078125,6928.9892578125,0.0,19278.0,0.12835711240768433,0.10514078289270401,-0.005251200869679451,0.40968751907348633,0.18045224249362946,0.08533474057912827,0.04027842730283737,0.39978519082069397,0.007281123660504818,0.05723205581307411,-0.07860628515481949,0.20095966756343842,0.9916147589683533,0.10710986703634262,0.6653348803520203,1.1706247329711914,33.46084104646351,-111.96206489698,0.0025712103,-0.0037229895
Heatwave_Arizona_14,enfermo_estres,2023-07-15,10295.3310546875,5073.48095703125,0.0,19814.0,9458.2861328125,4639.60009765625,0.0,17706.0,8637.46875,4230.92236328125,0.0,16390.0,13412.373046875,6559.1142578125,0.0,20846.0,12428.8486328125,6144.09130859375,0.0,22058.0,10736.5068359375,5310.10400390625,0.0,18222.0,0.13194039463996887,0.03663421794772148,0.020999060943722725,0.2622503340244293,0.17291080951690674,0.03168337047100067,0.07599655538797379,0.2747950851917267,0.03901006653904915,0.04106427729129791,-0.10335066169500351,0.16727018356323242,0.9279508590698242,0.0771491676568985,0.713399350643158,1.230526328086853,33.53987641648999,-111.98342729883588,-0.004243791,-0.012219604
Heatwave_Arizona_15,enfermo_estres,2023-07-15,10283.57421875,5134.978515625,0.0,19666.0,9478.162109375,4710.60302734375,0.0,17882.0,8834.6337890625,4388.31689453125,0.0,17026.0,12228.9814453125,6070.4189453125,0.0,20677.0,11797.7392578125,5899.2177734375,0.0,22183.0,10573.8779296875,5285.53515625,0.0,23768.0,0.08671802282333374,0.04025087505578995,-0.003411730518564582,0.28519272804260254,0.12653645873069763,0.03746030852198601,0.02006448246538639,0.28591498732566833,0.018576450645923615,0.03320254385471344,-0.15305247902870178,0.1658121794462204,0.9655935168266296,0.0636451467871666,0.715542197227478,1.3614213466644287,33.46883084091905,-112.02723640506444,0.003274493,-0.006639839
Heatwave_Arizona_16,enfermo_estres,2023-07-15,9071.310546875,5587.4375,0.0,17756.0,8393.0908203125,5150.7880859375,0.0,16858.0,7800.83056640625,4783.10693359375,0.0,14858.0,11142.2587890625,6857.15185546875,0.0,20678.0,10595.6376953125,6544.84326171875,0.0,19942.0,9405.5576171875,5813.580078125,0.0,17523.0,0.10234782844781876,0.04401110112667084,0.016160311177372932,0.28903070092201233,0.14013417065143585,0.037238091230392456,0.032013900578022,0.2897934913635254,0.025602111592888832,0.034753452986478806,-0.06634936481714249,0.1629553586244583,0.9522713422775269,0.06498704105615616,0.7197564840316772,1.1421289443969727,33.471756335239505,-112.02302598771284,0.008501373,-0.0028667282
Heatwave_Arizona_17,enfermo_estres,2023-07-15,9154.7705078125,4595.93798828125,0.0,16309.0,8676.9404296875,4320.3779296875,0.0,15306.0,8100.12841796875,4026.13916015625,0.0,14534.0,12698.4404296875,6317.13427734375,0.0,20119.0,11245.4091796875,5670.62646484375,0.0,18697.0,9730.8955078125,4925.27783203125,0.0,17278.0,0.1626097708940506,0.04346775636076927,0.03877871856093407,0.3168174922466278,0.18788829445838928,0.03589140996336937,0.07680991291999817,0.32715874910354614,0.06187548488378525,0.04211568087339401,-0.07475200295448303,0.2011474072933197,0.8864465951919556,0.07548723369836807,0.6650745868682861,1.161582589149475,33.50311184348127,-111.97506841194163,0.01832679,-0.005306814
Heatwave_Arizona_18,enfermo_estres,2023-07-15,10137.1806640625,5441.31787109375,0.0,22280.0,9362.55078125,4987.69384765625,0.0,19837.0,8732.08984375,4641.89892578125,0.0,17506.0,12295.642578125,6516.40625,0.0,23040.0,11702.6591796875,6270.41015625,0.0,23414.0,10339.638671875,5542.171875,0.0,20345.0,0.09718327969312668,0.04899157956242561,0.0097080422565341,0.30866920948028564,0.1355901062488556,0.04226421192288399,0.038234859704971313,0.31257331371307373,0.025795968249440193,0.0397179089486599,-0.11563124507665634,0.1805294305086136,0.9525873064994812,0.07463216781616211,0.6941551566123962,1.2615001201629639,33.470051082815615,-112.00433620340446,0.0069304034,-0.0020668264
Heatwave_Arizona_19,enfermo_estres,2023-07-15,10983.498046875,5708.36669921875,0.0,22118.0,9891.55078125,5050.26220703125,0.0,20172.0,9106.43359375,4627.33984375,0.0,18532.0,12885.4716796875,6562.5439453125,0.0,23400.0,12684.7998046875,6647.22705078125,0.0,22626.0,11381.228515625,6010.123046875,0.0,20700.0,0.0813794881105423,0.05040213093161583,-0.01423401664942503,0.29863241314888,0.1311640590429306,0.04570269212126732,-0.021395497024059296,0.30714285373687744,0.010645726695656776,0.045078620314598083,-0.11159582436084747,0.1805294305086136,0.9827688336372375,0.0862373486161232,0.6941551566123962,1.251227617263794,33.463401011355586,-111.99669605145576,0.005204551,-0.0072079804
Heatwave_Brazil_2023_0,enfermo_estres,2023-11-15,10550.146484375,1182.369873046875,8243.0,13810.0,9718.8154296875,711.9865112304688,8467.0,11839.0,8678.298828125,536.1507568359375,7764.0,10230.0,16331.2333984375,2707.642578125,8778.0,24011.0,14825.3115234375,2948.449951171875,8304.0,22530.0,12309.8828125,2007.563720703125,7903.0,17609.0,0.2090330421924591,0.09858348965644836,-0.03144654259085655,0.4805154800415039,0.24729570746421814,0.0682106539607048,-0.022331124171614647,0.4464022219181061,0.05021402984857559,0.08081814646720886,-0.10049111396074295,0.2571333944797516,0.9153293371200562,0.1429566890001297,0.5909210443496704,1.2234355211257935,-20.983278308584254,-47.50365360081394,-0.0472344,-0.017969184
Heatwave_Brazil_2023_1,enfermo_estres,2023-11-12,4456.4521484375,4395.8486328125,0.0,12081.0,4486.513671875,4390.208984375,0.0,10605.0,4174.21337890625,4077.490234375,0.0,9466.0,9180.0751953125,9022.3935546875,0.0,22098.0,6336.04248046875,6350.68505859375,0.0,19978.0,5011.953125,5021.17578125,0.0,15565.0,0.34543469548225403,0.06372620910406113,0.09460540115833282,0.45749831199645996,0.34159883856773376,0.046872008591890335,0.14108797907829285,0.43166583776474,0.18626895546913147,0.07604791969060898,-0.06503951549530029,0.2897639870643616,0.6937392950057983,0.12182528525590897,0.5506712794303894,1.1391278505325317,-20.971821662207685,-47.53984278819177,-0.20463249,-0.121788986
Heatwave_Brazil_2023_2,enfermo_estres,2023-11-12,5991.68798828125,4893.8134765625,0.0,11916.0,5877.73974609375,4755.70556640625,0.0,10899.0,5360.90673828125,4331.837890625,0.0,9864.0,11593.2529296875,9488.3544921875,0.0,24088.0,8955.5439453125,7499.9482421875,0.0,20211.0,6976.6865234375,5829.78173828125,0.0,15625.0,0.31573498249053955,0.0809156522154808,0.12764091789722443,0.4672355651855469,0.3237978518009186,0.056434955447912216,0.1728825569152832,0.4464115798473358,0.13119196891784668,0.09950552135705948,-0.03522467240691185,0.29986098408699036,0.782006561756134,0.1590949296951294,0.5386260747909546,1.0730215311050415,-21.0294200739284,-47.54271823230747,-0.18360959,-0.1085411
Heatwave_Brazil_2023_3,enfermo_estres,2023-11-15,11744.7578125,1954.2723388671875,8375.0,15997.0,10515.5947265625,1186.257568359375,8843.0,13249.0,9233.4873046875,851.4107055664062,8138.0,11252.0,18479.759765625,2640.9697265625,12060.0,22362.0,17697.466796875,3992.5390625,11277.0,26630.0,14101.408203125,2755.765869140625,9424.0,19819.0,0.2217458039522171,0.09117771685123444,0.05854472145438194,0.4111706018447876,0.2712674140930176,0.05959726497530937,0.13994045555591583,0.3889355957508087,0.027692683041095734,0.08213689923286438,-0.10526790469884872,0.21160449087619781,0.9586222171783447,0.15702500939369202,0.6507036685943604,1.2353060245513916,-20.98232415242522,-47.48926444148283,-0.14891261,0.015381008
Heatwave_Brazil_2023_4,enfermo_estres,2023-11-15,10712.380859375,1676.6727294921875,8177.0,14398.0,10274.458984375,927.5811767578125,8707.0,12798.0,8977.908203125,752.008544921875,7818.0,10935.0,18651.72265625,1110.843994140625,15003.0,22794.0,16587.109375,2759.612548828125,11446.0,21653.0,13816.1494140625,3198.044921875,9018.0,19901.0,0.2734040319919586,0.0771951824426651,0.12427076697349548,0.453559935092926,0.28991204500198364,0.04668862372636795,0.20107237994670868,0.41921424865722656,0.0641535073518753,0.08870261907577515,-0.08221660554409027,0.2544856071472168,0.8919379115104675,0.150509312748909,0.5942789316177368,1.1791634559631348,-21.040972278003746,-47.49109454527274,-0.22567306,-0.03044068
Heatwave_Brazil_2023_5,enfermo_estres,2023-11-15,13074.9169921875,2772.104248046875,8184.0,17486.0,11194.779296875,1725.3189697265625,8674.0,14050.0,9701.421875,1185.0177001953125,7961.0,11615.0,18872.826171875,3349.55029296875,12146.0,24105.0,19277.119140625,5672.43994140625,11845.0,27475.0,15345.2919921875,3740.114013671875,9143.0,20466.0,0.1824909895658493,0.09003636986017227,0.05246739834547043,0.4519221782684326,0.25178372859954834,0.056992076337337494,0.14079083502292633,0.4188665449619293,0.0028897349257022142,0.09130725264549255,-0.10493159294128418,0.2345193773508072,1.0097780227661133,0.17127986252307892,0.6200636625289917,1.2344660758972168,-20.970154133169565,-47.472250048121,-0.08787835,8.140993e-05
Heatwave_Brazil_2023_6,enfermo_estres,2023-11-12,71.18386840820312,879.3010864257812,0.0,14618.0,38.28392791748047,460.131103515625,0.0,5572.0,26.554096221923828,319.1546325683594,0.0,3876.0,132.16197204589844,1588.79443359375,0.0,19950.0,103.45403289794922,1302.91845703125,0.0,22956.0,80.64790344238281,1019.9116821289062,0.0,18189.0,0.3075803518295288,0.11339554190635681,0.12154082208871841,0.381393700838089,0.5506643652915955,0.007290256675332785,0.5412313938140869,0.5633571147918701,0.14034661650657654,0.1528831422328949,-0.10315000265836716,0.2366054505109787,0.787428617477417,0.2755028009414673,0.6173307299613953,1.2300273180007935,-21.0274550822334,-47.51718702564581,-0.24561125,-0.10674396
Heatwave_Brazil_2023_7,enfermo_estres,2023-11-15,9273.3154296875,1019.4017944335938,7975.0,12486.0,9545.947265625,611.9363403320312,8526.0,11316.0,8463.8125,412.48272705078125,7576.0,9766.0,20684.90234375,1522.29150390625,9226.0,24362.0,14981.3896484375,1984.532470703125,8383.0,20555.0,11222.6337890625,1621.71875,7836.0,16046.0,0.3801190257072449,0.06868728995323181,0.058452360332012177,0.4893473982810974,0.3670474886894226,0.050226397812366486,0.03943217545747757,0.45344987511634827,0.1616678535938263,0.0790427103638649,-0.047768451273441315,0.3126565217971802,0.730211615562439,0.12608900666236877,0.5236278176307678,1.1003295183181763,-21.024805623730693,-47.45038008809032,-0.32990804,-0.107051745
Heatwave_Brazil_2023_8,enfermo_estres,2023-11-12,451.6625061035156,1900.6058349609375,0.0,9609.0,459.1827392578125,1940.681396484375,0.0,9562.0,352.0684509277344,1554.8514404296875,0.0,8453.0,1027.6285400390625,4369.8759765625,0.0,23761.0,665.2684326171875,2816.142578125,0.0,15295.0,504.5726318359375,2127.5341796875,0.0,11130.0,0.3827652037143707,0.06727907061576843,0.10136411339044571,0.47473931312561035,0.3781272768974304,0.062182288616895676,0.23039193451404572,0.5385503172874451,0.21114200353622437,0.044784851372241974,0.09515859931707382,0.2876531779766083,0.6535924077033997,0.06180605664849281,0.5532132387161255,0.8262194991111755,-20.988474677917658,-47.51994995666907,-0.099437445,-0.06404713
